client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,contribution
0,54,34,0,4,93.301,0.756,0.846,716,3.236,0.9995,1,0.000000
1,54,43,0,4,45.026,0.865,0.875,278,1.751,0.9999,4,0.000000
2,54,38,0,5,88.896,0.007,1.000,971,0.643,0.9995,2,0.000000
3,54,49,0,6,43.853,0.300,0.929,770,1.155,0.9998,3,0.000000
4,54,34,0,3,23.973,0.491,0.950,481,1.300,0.9999,4,0.000000
5,54,52,0,5,77.916,0.702,0.891,855,21.484,0.9993,2,0.000000
6,54,53,0,5,43.559,0.398,0.924,1091,1.524,0.9998,3,0.000000
7,54,47,0,6,50.904,0.401,0.949,1042,0.511,1.0000,5,0.000000
8,54,20,0,2,95.992,0.346,0.871,859,3.137,0.9998,5,0.000000
9,54,51,0,7,17.569,0.073,0.969,1052,0.097,0.9993,1,0.000000
10,54,23,1,5,47.332,0.212,0.976,679,0.356,0.9995,1,0.003000
11,54,51,0,5,23.937,0.110,0.984,1037,1.497,0.9999,5,0.000000
12,54,28,0,2,18.415,0.799,0.887,502,3.611,0.9999,3,0.000000
13,54,34,0,4,66.791,0.220,0.938,1107,2.341,0.9991,2,0.000000
14,54,52,0,8,81.307,0.047,0.990,929,0.180,1.0000,4,0.000000
15,54,52,0,5,2.246,0.435,0.848,800,5.083,0.9987,1,0.000000
16,54,35,0,4,2.061,0.845,0.800,1114,7.992,0.9995,1,0.000000
17,54,44,0,6,49.173,0.347,0.971,507,3.100,0.9995,2,0.000000
18,54,51,0,9,94.580,0.357,0.921,446,1.663,0.9998,2,0.000000
19,54,43,0,7,0.963,0.331,0.895,729,1.213,0.9998,5,0.000000
20,54,51,0,9,25.660,0.629,0.930,704,0.183,0.9998,4,0.000000
21,54,52,0,6,4.243,0.701,0.833,627,3.287,0.9999,3,0.000000
22,54,53,0,5,85.450,1.205,0.971,499,0.001,1.0000,4,0.000000
23,54,42,0,5,91.284,0.996,0.909,557,0.155,0.9999,5,0.000000
24,54,53,0,8,57.164,0.065,1.000,637,1.852,0.9997,4,0.000000
25,54,40,1,4,49.600,0.368,0.939,203,4.030,0.9998,3,-0.002600
26,54,52,0,5,9.020,0.495,0.806,801,2.112,0.9998,5,0.000000
27,54,47,0,5,9.737,0.941,0.859,1152,3.155,0.9995,1,0.000000
28,54,51,0,6,64.232,0.913,0.884,939,2.672,0.9999,4,0.000000
29,54,53,0,6,15.857,0.305,0.926,629,0.286,0.9999,3,0.000000
30,54,35,0,4,63.640,0.862,0.871,429,3.342,0.9998,3,0.000000
31,54,31,0,2,33.454,0.702,0.913,846,16.829,0.9994,1,0.000000
32,54,47,0,11,97.440,0.718,0.860,1100,5.133,0.9997,2,0.000000
33,54,48,1,5,56.682,0.796,0.788,1186,3.419,0.9998,4,-0.000500
34,54,49,0,5,35.275,0.021,1.000,892,0.011,0.9997,2,0.000000
35,54,50,0,4,10.557,0.146,0.969,259,0.000,0.9999,4,0.000000
36,54,36,0,3,62.872,1.880,0.836,674,2.998,0.9998,2,0.000000
37,54,52,0,6,25.917,0.180,0.977,562,6.540,0.9997,2,0.000000
38,54,52,0,4,38.175,0.519,0.984,765,0.134,0.9999,5,0.000000
39,54,46,1,7,0.917,2.025,0.844,442,3.436,0.9999,5,-0.000900
40,54,51,0,6,67.638,0.108,0.941,245,1.145,0.9996,2,0.000000
41,54,49,0,5,32.492,0.969,0.905,737,1.813,0.9999,5,0.000000
42,54,51,0,9,19.673,0.043,0.983,358,0.001,0.9999,5,0.000000
43,54,48,0,3,41.979,0.095,0.969,735,3.295,0.9998,5,0.000000
44,54,6,0,1,87.308,1.181,0.918,645,3.660,0.9998,3,0.000000
45,54,44,0,6,19.011,0.461,0.857,584,0.000,0.9999,5,0.000000
46,54,36,1,6,99.790,0.779,0.862,877,3.325,0.9998,3,0.004000
47,54,49,0,6,13.504,0.825,0.923,578,4.620,0.9996,3,0.000000
48,54,53,0,5,22.704,0.209,0.957,570,0.391,0.9999,3,0.000000
49,54,11,1,2,16.251,0.396,0.932,892,0.712,0.9999,5,0.001700
50,54,47,0,7,22.670,0.704,0.921,824,5.737,0.9999,5,0.000000
51,54,43,0,4,58.888,0.384,0.944,285,0.122,0.9996,1,0.000000
52,54,48,0,4,41.199,0.814,0.857,890,2.661,0.9990,1,0.000000
53,54,36,0,5,81.046,0.789,0.917,581,1.350,0.9999,4,0.000000
54,54,50,0,9,28.775,0.305,0.926,756,2.258,0.9997,1,0.000000
55,54,53,0,9,17.928,0.052,1.000,417,0.706,0.9998,2,0.000000
56,54,48,0,6,0.094,0.251,0.940,495,2.368,0.9997,3,0.000000
57,54,46,0,5,94.018,0.271,0.968,661,0.099,0.9999,4,0.000000
58,54,33,0,4,15.248,0.539,0.900,715,4.193,0.9996,1,0.000000
59,54,53,0,3,81.155,0.348,0.909,396,4.651,0.9997,4,0.000000
60,54,48,0,6,32.500,0.143,0.958,727,0.411,0.9999,4,0.000000
61,54,48,0,6,36.948,0.195,0.986,798,4.032,0.9997,2,0.000000
62,54,49,0,5,2.473,0.246,0.969,864,0.006,0.9999,5,0.000000
63,54,50,0,6,56.885,0.404,0.935,398,1.988,0.9999,4,0.000000
64,54,45,0,6,25.186,0.397,0.860,438,11.964,0.9997,4,0.000000
65,54,34,0,4,60.017,1.359,0.767,653,7.531,0.9997,3,0.000000
66,54,45,0,2,64.020,0.389,0.957,1146,0.743,0.9997,2,0.000000
67,54,44,0,4,94.500,0.718,0.910,272,0.550,0.9999,5,0.000000
68,54,46,0,7,1.597,0.159,0.968,826,0.447,0.9999,5,0.000000
69,54,48,0,7,61.838,0.224,0.984,492,1.133,0.9999,3,0.000000
70,54,45,0,5,80.550,0.767,0.886,298,0.401,0.9992,1,0.000000
71,54,22,1,3,76.455,0.627,0.959,698,3.162,0.9999,3,0.000300
72,54,32,0,4,93.597,0.321,0.946,390,2.767,0.9999,5,0.000000
73,54,45,0,4,48.207,0.532,0.941,933,9.557,0.9998,3,0.000000
74,54,23,0,3,79.915,1.255,0.785,285,5.656,0.9995,2,0.000000
75,54,45,0,5,92.798,0.865,0.865,948,4.266,0.9999,4,0.000000
76,54,47,0,4,68.304,1.405,0.853,623,1.450,0.9998,5,0.000000
77,54,41,1,7,21.183,0.812,0.882,486,2.419,0.9994,1,-0.002100
78,54,44,0,6,74.704,0.618,0.965,651,0.000,1.0000,5,0.000000
79,54,53,1,6,28.136,0.593,0.929,402,2.210,0.9997,2,0.011600
80,54,47,0,7,22.660,0.523,0.906,524,0.931,0.9999,4,0.000000
81,54,49,0,5,92.645,0.376,0.917,214,1.957,0.9999,4,0.000000
82,54,50,0,9,41.115,0.316,0.918,903,0.327,0.9999,5,0.000000
83,54,42,0,6,18.360,0.294,0.942,1015,0.054,0.9999,5,0.000000
84,54,46,0,5,94.004,0.694,0.963,1004,17.884,0.9999,3,0.000000
85,54,53,0,6,55.244,0.000,1.000,1019,0.000,0.9999,4,0.000000
86,54,53,0,6,57.484,0.117,0.977,267,8.194,0.9998,3,0.000000
87,54,42,0,5,68.148,0.217,0.976,896,0.041,0.9999,4,0.000000
88,54,52,0,6,62.666,0.587,0.927,1086,3.650,0.9999,5,0.000000
89,54,49,0,4,2.591,0.169,0.984,250,1.255,0.9999,5,0.000000
90,54,17,0,2,59.916,0.609,0.902,592,0.744,0.9999,4,0.000000
91,54,46,0,4,1.405,0.144,0.974,1137,3.232,0.9998,4,0.000000
92,54,43,0,9,38.160,0.311,0.962,421,4.839,0.9991,1,0.000000
93,54,50,1,5,95.552,0.098,0.986,537,0.662,0.9999,5,-0.011500
94,54,49,0,7,35.637,0.208,0.972,263,6.924,0.9999,4,0.000000
95,54,14,0,3,39.011,0.478,0.925,901,0.650,0.9998,3,0.000000
96,54,50,0,4,90.762,0.520,0.948,879,1.567,0.9997,2,0.000000
97,54,45,0,8,95.494,0.554,0.958,1105,0.272,0.9997,1,0.000000
98,54,44,0,5,21.012,0.255,0.971,821,0.055,0.9999,3,0.000000
99,54,51,0,7,68.012,0.715,0.844,919,15.293,0.9997,2,0.000000
