client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,pcdi,contribution
0,87,84,0,9,46.510,0.951,0.898,297,3.351,0.9997,1,141432.90,0.000000
1,87,86,0,11,23.719,0.297,0.964,733,0.148,0.9993,4,7276.00,0.000000
2,87,48,0,5,88.257,0.241,0.981,232,0.424,0.9999,4,209403.60,0.000000
3,87,82,1,6,31.586,0.205,0.968,1120,0.065,0.9995,1,49831.60,0.009100
4,87,80,0,5,73.646,0.043,1.000,756,0.235,0.9995,3,15392.10,0.000000
5,87,20,0,2,82.795,0.687,0.867,631,0.111,0.9981,2,54790.50,0.000000
6,87,83,1,8,15.357,0.836,0.789,1077,46.325,0.9998,5,37796.10,0.003000
7,87,85,0,8,7.747,0.015,1.000,1165,2.804,0.9996,1,12127.60,0.000000
8,87,84,0,10,8.223,2.136,0.881,260,0.000,0.9991,1,99152.90,0.000000
9,87,77,0,8,2.387,0.325,0.975,1183,1.529,0.9999,4,133986.10,0.000000
10,87,84,0,9,22.934,0.230,0.912,688,3.373,0.9996,1,10212.90,0.000000
11,87,79,0,10,22.450,0.588,0.938,384,0.001,0.9998,3,208448.00,0.000000
12,87,16,0,2,79.630,0.364,0.972,214,0.000,0.9998,3,223540.90,0.000000
13,87,81,0,7,21.350,0.647,0.900,830,1.080,0.9999,4,44328.50,0.000000
14,87,86,1,9,87.223,0.339,0.925,497,0.226,0.9998,2,80242.40,0.002100
15,87,83,0,11,17.954,0.583,0.936,716,5.170,0.9995,1,22748.40,0.000000
16,87,85,0,13,36.783,0.098,0.984,546,2.068,0.9999,5,59819.60,0.000000
17,87,85,0,11,13.566,0.314,0.963,414,2.065,0.9998,2,49398.40,0.000000
18,87,83,0,8,91.910,0.949,0.917,771,2.642,0.9997,2,23066.00,0.000000
19,87,67,0,8,25.773,0.163,0.967,1152,2.668,0.9997,2,42400.40,0.000000
20,87,82,0,10,33.341,0.678,0.869,391,14.680,0.9996,2,57549.60,0.000000
21,87,78,0,10,86.671,0.571,0.950,289,5.791,0.9999,3,141028.90,0.000000
22,87,76,0,10,31.352,0.606,0.967,1026,1.881,0.9999,4,57754.40,0.000000
23,87,78,0,9,53.377,0.020,1.000,1176,1.714,0.9999,4,48811.60,0.000000
24,87,86,0,12,10.173,0.067,1.000,543,0.015,1.0000,4,102820.40,0.000000
25,87,73,0,6,24.389,0.381,0.939,674,1.016,0.9998,3,121876.10,0.000000
26,87,77,0,11,54.006,0.719,0.934,921,3.288,0.9998,2,113450.10,0.000000
27,87,69,0,10,85.173,0.524,0.938,1050,0.003,0.9997,2,70989.60,0.000000
28,87,73,1,4,57.090,0.350,0.987,1091,2.157,0.9995,1,41112.90,0.000900
29,87,82,0,11,43.686,0.469,0.927,1010,1.215,0.9995,1,40866.00,0.000000
