id,rnd,last_sel,sel,part,loss,acc,data,grad,cos,ep,pcdi,contrib
0.000000000000000000e+00,1.050000000000000000e+02,9.400000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,3.519927784800529480e-01,9.423076923076922906e-01,2.650000000000000000e+02,1.778815981127461754e+00,9.994856655128026013e-01,1.000000000000000000e+00,4.514889999999999418e+04,0.000000000000000000e+00
1.000000000000000000e+00,1.050000000000000000e+02,1.030000000000000000e+02,0.000000000000000000e+00,1.100000000000000000e+01,7.908847928047180176e-02,9.375000000000000000e-01,5.710000000000000000e+02,1.928515651940104103e+00,9.997970536707276867e-01,5.000000000000000000e+00,9.002100000000000364e+03,0.000000000000000000e+00
2.000000000000000000e+00,1.050000000000000000e+02,1.030000000000000000e+02,0.000000000000000000e+00,1.200000000000000000e+01,2.740484327077865601e-01,9.399999999999999467e-01,1.039000000000000000e+03,2.759245626745399527e+00,9.994584187277133491e-01,1.000000000000000000e+00,2.312889999999999782e+04,0.000000000000000000e+00
3.000000000000000000e+00,1.050000000000000000e+02,1.040000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+00,3.399051278829574585e-01,9.193548387096773800e-01,4.440000000000000000e+02,3.255699768442159137e+00,9.995944548766816373e-01,2.000000000000000000e+00,4.829439999999999418e+04,0.000000000000000000e+00
4.000000000000000000e+00,1.050000000000000000e+02,9.900000000000000000e+01,0.000000000000000000e+00,1.400000000000000000e+01,2.353893443942070007e-01,9.333333333333333481e-01,8.850000000000000000e+02,6.659623306484614425e+00,9.996010892480786669e-01,2.000000000000000000e+00,6.980399999999999636e+03,0.000000000000000000e+00
5.000000000000000000e+00,1.050000000000000000e+02,1.040000000000000000e+02,0.000000000000000000e+00,6.000000000000000000e+00,3.852918744030375819e-01,9.090909090909090606e-01,1.194000000000000000e+03,2.651591025589015160e+00,9.999210634447615043e-01,5.000000000000000000e+00,9.175640000000000873e+04,0.000000000000000000e+00
6.000000000000000000e+00,1.050000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,1.200000000000000000e+01,9.747249074280261993e-01,9.189189189189189699e-01,4.250000000000000000e+02,1.145091508884797937e+00,9.998882119237673116e-01,3.000000000000000000e+00,3.728890000000000146e+04,0.000000000000000000e+00
7.000000000000000000e+00,1.050000000000000000e+02,1.000000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+01,3.904948458075523376e-01,9.305555555555555802e-01,7.940000000000000000e+02,1.016622694495951107e+00,9.997211486195154428e-01,2.000000000000000000e+00,6.465160000000000582e+04,0.000000000000000000e+00
8.000000000000000000e+00,1.050000000000000000e+02,9.300000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,4.028271138668060303e-01,9.180327868852459217e-01,3.930000000000000000e+02,9.017854787586366844e-04,9.998556634431584600e-01,4.000000000000000000e+00,6.952689999999997963e+04,0.000000000000000000e+00
9.000000000000000000e+00,1.050000000000000000e+02,9.600000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,5.706284940242767334e-01,9.146341463414634498e-01,3.470000000000000000e+02,4.236726736477408828e+00,9.999242783414276081e-01,4.000000000000000000e+00,6.515410000000000582e+04,0.000000000000000000e+00
1.000000000000000000e+01,1.050000000000000000e+02,9.400000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,3.628254258073866367e-01,9.565217391304348116e-01,2.150000000000000000e+02,1.985326786896401297e+00,9.999025940919219479e-01,5.000000000000000000e+00,5.521560000000000582e+04,0.000000000000000000e+00
1.100000000000000000e+01,1.050000000000000000e+02,1.010000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+01,7.248110473155975342e-01,8.979591836734693855e-01,4.100000000000000000e+02,1.135991408112602352e+00,9.998527225142223029e-01,3.000000000000000000e+00,1.373409999999999854e+04,0.000000000000000000e+00
1.200000000000000000e+01,1.050000000000000000e+02,9.300000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,3.006907701492309570e-01,9.574468085106383475e-01,2.680000000000000000e+02,2.013235192596979140e+00,9.998287730172130683e-01,4.000000000000000000e+00,5.152090000000000146e+04,0.000000000000000000e+00
1.300000000000000000e+01,1.050000000000000000e+02,1.010000000000000000e+02,0.000000000000000000e+00,7.000000000000000000e+00,5.886732806684449315e-01,9.552238805970149071e-01,2.230000000000000000e+02,3.835014258333491188e+00,9.997481457299637331e-01,2.000000000000000000e+00,7.717289999999999418e+04,0.000000000000000000e+00
1.400000000000000000e+01,1.050000000000000000e+02,1.040000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+00,4.481536522507667542e-01,9.154929577464788748e-01,6.230000000000000000e+02,1.463649170338577665e+00,9.998279906197024003e-01,3.000000000000000000e+00,7.883400000000000000e+04,0.000000000000000000e+00
1.500000000000000000e+01,1.050000000000000000e+02,8.500000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,2.404021564871072769e-02,1.000000000000000000e+00,1.133000000000000000e+03,1.352909419756347445e-02,9.999368247934327103e-01,4.000000000000000000e+00,1.310769000000000233e+05,0.000000000000000000e+00
1.600000000000000000e+01,1.050000000000000000e+02,9.400000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,4.808457493782043457e-01,9.354838709677418818e-01,2.280000000000000000e+02,3.549738248179710620e+00,9.994954895713139553e-01,2.000000000000000000e+00,5.571400000000000000e+04,0.000000000000000000e+00
1.700000000000000000e+01,1.050000000000000000e+02,9.700000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,4.213823229074478149e-01,9.180327868852459217e-01,1.092000000000000000e+03,7.166306742223607987e-03,9.998637327508917982e-01,3.000000000000000000e+00,4.399839999999999418e+04,0.000000000000000000e+00
1.800000000000000000e+01,1.050000000000000000e+02,9.700000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,8.886764443013817072e-02,9.850746268656715987e-01,7.100000000000000000e+02,3.258282422744384621e-01,9.996182187176358980e-01,2.000000000000000000e+00,5.622000000000000000e+04,0.000000000000000000e+00
1.900000000000000000e+01,1.050000000000000000e+02,9.300000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,6.471376633271574974e-03,1.000000000000000000e+00,7.450000000000000000e+02,5.024993428130755113e-01,9.996917204129029955e-01,2.000000000000000000e+00,6.108800000000000000e+04,0.000000000000000000e+00
2.000000000000000000e+01,1.050000000000000000e+02,9.700000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,9.937738776206970215e-01,9.242424242424241987e-01,1.007000000000000000e+03,1.084828809225531487e-01,9.999352394828394663e-01,5.000000000000000000e+00,7.104959999999999127e+04,0.000000000000000000e+00
2.100000000000000000e+01,1.050000000000000000e+02,9.000000000000000000e+01,0.000000000000000000e+00,6.000000000000000000e+00,4.448659419895193423e-01,9.384615384615384581e-01,5.670000000000000000e+02,2.078814829471510084e+00,9.995653777903051873e-01,2.000000000000000000e+00,1.932208999999999651e+05,0.000000000000000000e+00
2.200000000000000000e+01,1.050000000000000000e+02,9.800000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,2.683032393455505371e+00,9.324324324324324564e-01,4.980000000000000000e+02,2.248794416836360777e-01,9.998423968647328630e-01,3.000000000000000000e+00,1.699255999999999767e+05,0.000000000000000000e+00
2.300000000000000000e+01,1.050000000000000000e+02,9.600000000000000000e+01,0.000000000000000000e+00,2.600000000000000000e+01,1.629119277000427246e+00,9.210526315789473450e-01,1.000000000000000000e+03,2.986264731337447742e+00,9.996376170155244489e-01,1.000000000000000000e+00,1.050439999999999964e+04,0.000000000000000000e+00
