client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,contribution
0,98,97,0,12,69.143,0.7804,0.8333,971,3.1799,0.9999,4,0.000000
1,98,95,0,13,29.424,0.2539,0.9500,984,1.0625,0.9999,5,0.000000
2,98,89,0,10,64.687,0.5089,0.9000,980,2.7317,0.9998,4,0.000000
3,98,90,0,9,85.723,0.2792,0.9333,318,3.5936,0.9998,1,0.000000
4,98,85,1,12,88.468,0.6264,0.9000,728,2.3050,0.9998,3,0.001100
5,98,65,0,4,6.043,0.5385,0.9000,537,2.0386,0.9998,3,0.000000
6,98,85,0,7,81.409,0.7475,0.8833,928,1.8395,0.9999,4,0.000000
7,98,59,0,3,54.884,0.3217,0.9167,400,4.8007,0.9996,1,0.000000
8,98,91,0,13,62.697,0.4610,0.9333,797,4.2546,0.9999,4,0.000000
9,98,95,1,13,31.186,0.6157,0.8667,1144,1.3505,0.9999,3,0.001100
10,98,92,0,11,45.253,0.7028,0.9000,783,1.9564,0.9998,3,0.000000
11,98,84,1,10,28.788,0.6166,0.8833,1022,1.5894,0.9996,2,0.000200
12,98,89,0,10,48.908,0.8383,0.9000,270,1.2935,0.9998,3,0.000000
13,98,34,0,3,58.025,0.6050,0.9000,514,2.2390,0.9997,2,0.000000
14,98,93,1,16,50.377,0.8115,0.8667,894,1.2139,0.9998,3,-0.000500
15,98,83,0,11,81.363,0.8739,0.9000,313,0.5250,0.9997,2,0.000000
16,98,86,0,5,40.019,0.2116,0.9333,584,2.8453,0.9998,3,0.000000
17,98,64,1,3,12.585,0.5879,0.8833,724,1.9376,0.9996,1,0.000300
18,98,95,0,14,32.426,0.5152,0.9000,929,2.7752,0.9998,2,0.000000
19,98,79,0,12,21.092,0.2811,0.9667,997,2.3504,0.9999,5,0.000000
20,98,85,0,10,80.349,0.5854,0.8833,281,2.0014,0.9999,4,0.000000
21,98,55,0,5,6.682,0.6919,0.9000,1174,1.9917,0.9999,5,0.000000
22,98,96,0,9,84.886,0.3388,0.9667,637,4.1188,0.9998,3,0.000000
23,98,96,0,9,96.784,1.0051,0.8000,1089,0.6675,0.9999,5,0.000000
24,98,82,0,9,84.743,0.4508,0.9167,993,2.3593,0.9999,4,0.000000
25,98,89,0,12,44.839,0.6917,0.9333,278,0.5016,0.9996,2,0.000000
26,98,97,0,7,12.393,0.3850,0.9000,262,2.8800,0.9998,3,0.000000
27,98,95,0,6,94.668,0.6543,0.9167,914,4.9229,0.9996,2,0.000000
28,98,70,0,7,56.717,0.7264,0.8833,952,3.4504,0.9997,1,0.000000
29,98,80,0,6,65.831,0.6429,0.9167,306,0.7856,0.9999,5,0.000000
30,98,96,0,14,66.731,0.4194,0.9333,766,0.1370,0.9999,4,0.000000
31,98,90,0,7,21.834,0.1847,0.9667,607,0.7773,0.9996,1,0.000000
32,98,64,0,8,15.996,0.6960,0.8500,642,0.9861,0.9999,2,0.000000
33,98,81,0,11,43.754,0.5711,0.8500,1061,3.0681,0.9999,5,0.000000
34,98,56,0,8,16.542,0.3717,0.9167,550,2.5237,0.9996,1,0.000000
35,98,84,0,12,38.785,0.1742,0.9667,569,1.5237,0.9998,3,0.000000
36,98,92,0,7,15.116,0.3540,0.9333,298,5.1874,0.9994,1,0.000000
37,98,89,0,7,8.858,0.2828,0.9333,722,1.5939,0.9998,4,0.000000
38,98,93,0,12,19.524,0.3883,0.9500,1150,1.6619,0.9997,2,0.000000
39,98,90,0,12,53.793,0.1440,0.9667,233,0.1525,0.9999,5,0.000000
