client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs
0,99,96,0,8,71.427,0.135,0.983,1149,0.132,0.3734,3
1,99,90,0,6,63.130,0.005,1.000,254,0.019,0.4275,5
2,99,91,0,9,81.860,0.422,0.967,768,1.740,0.3896,3
3,99,98,0,8,46.577,0.013,1.000,935,3.384,0.5345,2
4,99,98,0,15,46.847,0.080,0.967,659,0.150,0.3276,3
5,99,99,1,5,5.186,0.178,0.967,392,0.088,0.3009,3
6,99,93,0,5,80.938,0.021,1.000,683,0.059,0.4579,3
7,99,91,0,4,95.509,0.113,0.967,253,0.170,0.3983,3
8,99,88,0,13,89.242,0.005,1.000,492,0.018,0.3162,5
9,99,92,0,10,63.773,0.037,0.983,518,0.071,0.1851,2
10,99,96,0,11,78.935,0.225,0.967,428,0.006,0.4227,3
11,99,96,0,13,20.322,0.224,0.967,1134,0.023,0.5150,5
12,99,92,0,11,75.529,0.134,0.967,1084,0.017,0.3642,5
13,99,98,0,13,90.412,0.003,1.000,910,0.343,0.2207,1
14,99,87,0,10,93.473,0.044,1.000,428,0.508,0.3357,2
15,99,99,1,9,3.422,0.001,1.000,264,0.229,0.3143,3
16,99,95,0,13,46.323,0.095,0.967,201,0.741,0.4043,2
17,99,99,1,8,90.288,0.503,0.967,790,0.045,0.1611,3
18,99,99,1,10,84.204,0.038,1.000,595,0.099,0.2124,1
19,99,95,0,14,73.090,0.001,1.000,913,0.158,0.3561,5
20,99,90,0,6,1.677,0.152,0.983,914,0.017,0.3622,5
21,99,82,0,13,81.138,0.004,1.000,945,0.063,0.1449,2
22,99,85,0,10,10.472,0.010,1.000,801,0.002,0.3459,4
23,99,98,0,19,59.569,0.259,0.967,1199,0.054,0.3327,2
24,99,68,0,9,37.369,0.010,1.000,1130,0.023,0.1552,3
25,99,95,0,14,93.594,0.166,0.967,1045,0.015,0.4138,5
26,99,98,0,12,7.082,0.236,0.967,887,0.043,0.3362,4
27,99,91,0,8,33.518,0.114,0.967,1127,0.001,0.3734,5
28,99,83,0,5,2.128,0.009,1.000,1075,0.619,0.3397,2
29,99,99,1,11,18.075,0.322,0.967,344,1.051,0.5976,5
30,99,98,0,13,52.139,0.003,1.000,742,0.030,0.2571,5
31,99,96,0,13,74.208,0.044,0.983,1126,0.023,0.2385,5
32,99,88,0,11,38.122,0.051,0.983,572,3.045,0.4377,2
33,99,94,0,7,15.688,0.000,1.000,912,0.014,0.3287,5
34,99,99,1,12,1.095,0.001,1.000,875,0.036,0.2396,5
35,99,72,0,6,15.466,0.032,1.000,213,0.034,0.3325,4
36,99,86,0,8,98.121,0.291,0.983,796,0.018,0.4024,5
37,99,97,0,7,60.118,0.002,1.000,637,0.294,0.3717,2
38,99,97,0,12,44.848,0.088,0.983,763,0.006,0.4582,3
39,99,94,0,16,42.804,0.102,0.967,707,0.035,0.1898,1
40,99,98,0,12,44.789,0.014,1.000,581,0.023,0.1632,1
41,99,83,0,14,82.433,0.136,0.983,969,0.040,0.2812,5
42,99,93,0,13,65.941,0.099,0.967,326,0.132,0.2004,1
43,99,97,0,10,55.481,0.537,0.933,1054,0.093,0.2715,1
44,99,78,0,6,93.041,0.276,0.983,973,0.561,0.2996,1
45,99,88,0,13,67.024,0.020,1.000,771,0.008,0.2895,5
46,99,91,0,8,57.054,0.616,0.933,327,0.090,0.4058,5
47,99,9,0,1,99.718,0.121,0.967,1113,1.159,0.5565,5
48,99,94,0,6,84.444,0.071,1.000,996,0.002,0.4758,5
49,99,91,0,10,75.784,0.013,1.000,435,0.593,0.2191,2
50,99,98,0,13,83.317,0.037,1.000,246,0.082,0.3202,5
51,99,89,0,14,33.304,0.012,1.000,674,0.037,0.2664,4
52,99,98,0,12,81.771,0.312,0.967,1095,0.163,0.3641,1
53,99,96,0,7,25.309,0.288,0.967,320,0.726,0.2564,2
54,99,88,0,7,41.111,0.001,1.000,730,0.021,0.2821,5
55,99,96,0,15,38.899,0.225,0.967,803,0.014,0.2543,1
56,99,66,0,6,49.366,0.214,0.950,607,0.069,0.3848,3
